firm_id,year,treat,post,near_threshold,reported_count,below_threshold_mass,avg_amount_per_record,real_activity_proxy,category_shift
1,2024,1,0,1,12,0.10,80,100,0.05
1,2025,1,1,1,7,0.36,113,98,0.22
2,2024,1,0,1,11,0.12,82,97,0.04
2,2025,1,1,1,6,0.34,118,96,0.20
3,2024,1,0,1,10,0.11,85,102,0.06
3,2025,1,1,1,6,0.33,121,101,0.19
4,2024,1,0,1,13,0.09,78,99,0.05
4,2025,1,1,1,8,0.37,109,100,0.21
5,2024,0,0,0,9,0.08,77,95,0.05
5,2025,0,1,0,9,0.11,80,97,0.07
6,2024,0,0,0,10,0.07,76,96,0.04
6,2025,0,1,0,10,0.10,79,97,0.06
7,2024,0,0,0,8,0.09,78,94,0.05
7,2025,0,1,0,8,0.12,82,95,0.07
8,2024,0,0,0,9,0.08,79,98,0.04
8,2025,0,1,0,9,0.10,81,99,0.06
